price,room_type,longitude,latitude,neighbourhood_group,calculated_host_listings_count,availability_365,room_type_code,neighbourhood_group_code
149,Private room,-73.97237,40.64749,Brooklyn,6,365,1,1
225,Entire home/apt,-73.98377,40.75362,Manhattan,2,355,0,2
150,Private room,-73.9419,40.80902,Manhattan,1,365,1,2
89,Entire home/apt,-73.95976,40.68514,Brooklyn,1,194,0,1
80,Entire home/apt,-73.94399,40.79851,Manhattan,1,0,0,2
200,Entire home/apt,-73.975,40.74767,Manhattan,1,129,0,2
60,Private room,-73.95596,40.68688,Brooklyn,1,0,1,1
79,Private room,-73.98493,40.76489,Manhattan,1,220,1,2
79,Private room,-73.96723,40.80178,Manhattan,1,0,1,2
150,Entire home/apt,-73.99037,40.71344,Manhattan,4,188,0,2
135,Entire home/apt,-73.96545,40.80316,Manhattan,1,6,0,2
85,Private room,-73.98867,40.76076,Manhattan,1,39,1,2
89,Private room,-73.98779,40.66829,Brooklyn,3,314,1,1
85,Private room,-73.96113,40.79826,Manhattan,1,333,1,2
120,Entire home/apt,-74.00525,40.7353,Manhattan,1,0,0,2
140,Entire home/apt,-73.95352,40.70837,Brooklyn,1,46,0,1
215,Entire home/apt,-73.97185,40.69169,Brooklyn,1,321,0,1
140,Private room,-73.99501,40.74192,Manhattan,1,12,1,2
99,Entire home/apt,-73.94694,40.67592,Brooklyn,1,21,0,1
190,Entire home/apt,-73.94872,40.79685,Manhattan,2,249,0,2
299,Entire home/apt,-73.95718,40.71842,Brooklyn,1,0,0,1
130,Private room,-73.97706,40.68069,Brooklyn,6,347,1,1
80,Private room,-73.97798,40.67989,Brooklyn,6,364,1,1
110,Private room,-73.97865,40.68001,Brooklyn,6,304,1,1
120,Entire home/apt,-73.94028,40.68371,Brooklyn,2,233,0,1
60,Private room,-73.97519,40.65599,Brooklyn,2,85,1,1
80,Private room,-73.92639,40.86754,Manhattan,1,0,1,2
150,Entire home/apt,-73.98533,40.76715,Manhattan,1,75,0,2
44,Private room,-73.92106,40.86482,Manhattan,3,311,1,2
180,Entire home/apt,-73.98542,40.7292,Manhattan,1,67,0,2
